MetaboliteName,SuperClass,Class,SubClass,Level5,Level6,Level7
quercetin_3'-glucuronide,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Flavonoid O-glycosides,Flavonoid O-glucuronides,NA
isovanillic_acid,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Methoxybenzoic acids and derivatives,P-methoxybenzoic acids and derivatives,NA
naringenin_7-sulfate,Phenylpropanoids and polyketides,Flavonoids,Flavans,Flavanones,NA,NA
iberin,Organosulfur compounds,Sulfoxides,NA,NA,NA,NA
"3,5-dihydroxybenzoic_acid_glucuronide",Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
guaiacol,Benzenoids,Phenols,Methoxyphenols,NA,NA,NA
umbelliferone_sulfate,Phenylpropanoids and polyketides,Coumarins and derivatives,NA,NA,NA,NA
s-allylmercapturic_acid,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,N-acyl-alpha amino acids and derivatives
n-acetyl-s-allylcysteine,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,N-acyl-alpha amino acids and derivatives
"4-hydroxy-5-(3',4'-dihydroxyphenyl)-valeric_acid_4'-glucuronide",Lipids and lipid-like molecules,Saccharolipids,NA,NA,NA,NA
4-methylgallic_acid_3-sulfate,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Hydroxybenzoic acid derivatives,Gallic acid and derivatives,NA
gallic_acid,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Hydroxybenzoic acid derivatives,Gallic acid and derivatives,Gallic acids
vanilloylglycine,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Benzamides,Hippuric acids and derivatives,Hippuric acids
1-methylpyrogallol,Benzenoids,Phenols,Methoxyphenols,NA,NA,NA
naringenin_4'-sulfate,Phenylpropanoids and polyketides,Flavonoids,Flavans,Flavanones,NA,NA
urolithin_b_sulfate,Phenylpropanoids and polyketides,Coumarins and derivatives,NA,NA,NA,NA
epicatechin-3-gallate,Phenylpropanoids and polyketides,Flavonoids,Flavans,Flavan-3-ols,Catechins,Catechin gallates
caffeic_acid_4-glucuronide,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
trans-resveratrol,Phenylpropanoids and polyketides,Stilbenes,NA,NA,NA,NA
cis-resveratrol,Phenylpropanoids and polyketides,Stilbenes,NA,NA,NA,NA
homovanillyl_alcohol_sulfate,Organic acids and derivatives,Organic sulfuric acids and derivatives,Arylsulfates,Phenylsulfates,NA,NA
dihydroresveratrol_4'-glucuronide,Phenylpropanoids and polyketides,Stilbenes,Stilbene glycosides,NA,NA,NA
docosahexaenoic_acid,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Very long-chain fatty acids,NA,NA
maslinic_acid,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids,NA,NA,NA
"3,5-dihydroxycinnamic_acid",Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,Hydroxycinnamic acids,NA,NA
urolithin_b_glucuronide,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Glycosyl compounds,Phenolic glycosides,NA
oleanolic_acid,Lipids and lipid-like molecules,Prenol lipids,Triterpenoids,NA,NA,NA
